[Mon Feb 29 16:57:47.316765 2016] [authz_core:error] [pid 8320] [client 127.0.0.1:35106] AH01630: client denied by server configuration: /home/maryam/APEDevices/
[Mon Feb 29 16:57:48.728094 2016] [authz_core:error] [pid 8320] [client 127.0.0.1:35106] AH01630: client denied by server configuration: /home/maryam/APEDevices/
[Mon Feb 29 16:57:51.504068 2016] [authz_core:error] [pid 8320] [client 127.0.0.1:35106] AH01630: client denied by server configuration: /home/maryam/APEDevices/
[Mon Mar 07 14:44:04.869790 2016] [:error] [pid 2747] [client 127.0.0.1:55684] PHP Parse error:  syntax error, unexpected '\\' (T_NS_SEPARATOR) in /home/maryam/APEDevices/backend/rest/Controller.php on line 38
[Mon Mar 14 11:47:12.512741 2016] [:error] [pid 3498] [client 127.0.0.1:50839] PHP Fatal error:  Class 'Yii' not found in /home/maryam/APEDevices/common/config/bootstrap.php on line 2, referer: http://pfe/common/config/
[Mon Mar 14 11:49:37.411820 2016] [:error] [pid 3495] [client 127.0.0.1:50883] PHP Fatal error:  Class 'yii\\base\\Model' not found in /home/maryam/APEDevices/frontend/models/ContactForm.php on line 12, referer: http://pfe/frontend/models/
[Mon Mar 14 11:49:39.918520 2016] [:error] [pid 3498] [client 127.0.0.1:50884] PHP Fatal error:  Class 'yii\\base\\Model' not found in /home/maryam/APEDevices/frontend/models/ContactForm.php on line 12
[Mon Mar 14 18:42:48.343044 2016] [:error] [pid 3807] [client 127.0.0.1:38582] PHP Warning:  file_put_contents(/home/maryam/APEDevices/backend/runtime/debug/56e6f8184658e.data): failed to open stream: Permission denied in /home/maryam/APEDevices/vendor/yiisoft/yii2-debug/LogTarget.php on line 58, referer: http://pfe/index.php/gii/module
[Mon Mar 14 18:42:48.343145 2016] [:error] [pid 3807] [client 127.0.0.1:38582] PHP Warning:  touch(): Utime failed: Permission denied in /home/maryam/APEDevices/vendor/yiisoft/yii2-debug/LogTarget.php on line 73, referer: http://pfe/index.php/gii/module
[Mon Mar 14 18:43:46.721246 2016] [:error] [pid 3806] [client 127.0.0.1:38597] PHP Warning:  file_put_contents(/home/maryam/APEDevices/backend/runtime/debug/56e6f852abf33.data): failed to open stream: Permission denied in /home/maryam/APEDevices/vendor/yiisoft/yii2-debug/LogTarget.php on line 58, referer: http://pfe/index.php/gii/module
[Mon Mar 14 18:43:46.721318 2016] [:error] [pid 3806] [client 127.0.0.1:38597] PHP Warning:  touch(): Utime failed: Permission denied in /home/maryam/APEDevices/vendor/yiisoft/yii2-debug/LogTarget.php on line 73, referer: http://pfe/index.php/gii/module
[Tue Mar 15 13:17:47.308464 2016] [core:alert] [pid 7183] [client 127.0.0.1:41238] /home/maryam/APEDevices/backend/web/.htaccess: Invalid command 'RewriteCond', perhaps misspelled or defined by a module not included in the server configuration
[Tue Mar 15 13:17:55.003136 2016] [core:alert] [pid 7178] [client 127.0.0.1:41239] /home/maryam/APEDevices/backend/web/.htaccess: Invalid command 'RewriteCond', perhaps misspelled or defined by a module not included in the server configuration
[Tue Mar 15 13:18:29.495607 2016] [core:alert] [pid 7183] [client 127.0.0.1:41248] /home/maryam/APEDevices/backend/web/.htaccess: Invalid command 'RewriteCond', perhaps misspelled or defined by a module not included in the server configuration
[Tue Mar 15 13:18:29.952544 2016] [core:alert] [pid 7178] [client 127.0.0.1:41249] /home/maryam/APEDevices/backend/web/.htaccess: Invalid command 'RewriteCond', perhaps misspelled or defined by a module not included in the server configuration
[Tue Mar 15 13:23:27.843893 2016] [core:alert] [pid 7315] [client 127.0.0.1:41252] /home/maryam/APEDevices/backend/web/.htaccess: Invalid command 'RewriteCond', perhaps misspelled or defined by a module not included in the server configuration
[Tue Mar 15 13:23:28.971709 2016] [core:alert] [pid 7179] [client 127.0.0.1:41253] /home/maryam/APEDevices/backend/web/.htaccess: Invalid command 'RewriteCond', perhaps misspelled or defined by a module not included in the server configuration
